cip_code,major,cip_family,traditional_entry_point,traditional_entry_median_wage_usd,new_entry_point_1,new_entry_point_2,new_entry_point_3,new_entry_wage_low_usd,new_entry_wage_high_usd,wage_lift_at_midpoint_usd,wage_source
51.1801,Opticianry/Ophthalmic Dispensing Optician,Health Professions,Retail optical dispenser,45000,Virtual try-on fit specialist,Vision benefits and claims analyst,Ophthalmic device field trainer,55000,80000,22500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.1802,Optometric Technician/Assistant,Health Professions,Clinic optometric assistant,44000,Teleoptometry imaging technician,Myopia control program coordinator,Eye screening AI QA technician,52000,75000,19500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.1803,Ophthalmic Technician/Technologist,Health Professions,Hospital ophthalmic technician,50000,Retinal imaging AI validation technician,Ophthalmic trial imaging coordinator,Surgical laser application specialist,65000,95000,30000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.1804,Orthoptics/Orthoptist,Health Professions,Pediatric clinic orthoptist,70000,Vision therapy telehealth clinician,Neuro-ophthalmic trial assessor,Digital vision therapy content designer,80000,110000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2001,Pharmacy,Health Professions,Retail community pharmacist,137000,Clinical informatics pharmacist,Medication AI safety reviewer,Value-based medication therapy lead,130000,165000,10500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2002,Pharmacy Administration and Pharmacy Policy and Regulatory Affairs,Health Professions,Hospital pharmacy manager,130000,Drug pricing and 340B analyst,Payer formulary strategy analyst,Pharmacy compliance and audit lead,110000,160000,5000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2003,Pharmaceutics and Drug Design,Health Professions,Formulation scientist,95000,Computational formulation modeler,AI molecule screening associate,CDMO tech transfer engineer,100000,140000,25000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2004,Medicinal and Pharmaceutical Chemistry,Health Professions,Medicinal chemistry lab associate,78000,Cheminformatics associate,Generative chemistry model evaluator,Peptide and ADC process chemist,90000,135000,34500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2005,Natural Products Chemistry and Pharmacognosy,Health Professions,Natural products research assistant,65000,Botanical supplement regulatory analyst,Biosynthesis and fermentation associate,Sustainable ingredient sourcing analyst,72000,105000,23500,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
51.2006,Clinical and Industrial Drug Development,Health Professions,CRO clinical research associate,82000,Decentralized trial operations lead,Trial data quality monitoring analyst,Real-world evidence associate,90000,130000,28000,"Traditional wage: approximate BLS OEWS national median. New entry range: market estimate, first two years. Replace with OEWS join."
