cip,major,category,family,source,path_label,traditional_entry,job_1,why_1,soc_1,job_2,why_2,soc_2,job_3,why_3,soc_3
01.0000,"Agriculture, General",Agriculture,other,cip2,Agriculture,agricultural technicians,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0101,"Agricultural Business and Management, General",Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0102,Agribusiness/Agricultural Business Operations,Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0103,Agricultural Economics,Agriculture,other,cip2,Agriculture,economics teacher,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0104,Farm/Farm and Ranch Management,Agriculture,other,cip2,Agriculture,farm and home management educators,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling,Agriculture,other,cip2,Agriculture,agricultural sciences teacher,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0106,Agricultural Business Technology/Technician,Agriculture,other,cip2,Agriculture,first-line supervisors of office and administrative support workers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0199,"Agricultural Business and Management, Other",Agriculture,other,cip2,Agriculture,farmers,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0201,"Agricultural Mechanization, General",Agriculture,other,cip2,Agriculture,agricultural sciences teacher,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0204,Agricultural Power Machinery Operation,Agriculture,other,cip2,Agriculture,agricultural equipment operators,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
01.0205,Agricultural Mechanics and Equipment/Machine Technology/Technician,Agriculture,other,cip2,Agriculture,mobile heavy equipment mechanics,Environmental consultant,"Permitting, site assessment, and compliance for developers and industrials.",19-2041,Occupational health specialist,"Workplace injury, exposure, and return-to-work at employers and insurers.",19-5011,Sales engineer,"Technical brain on the sales call: demos, POCs, architecture.",41-9031
