cip,major,category,traditional,new_1,why_1,new_2,why_2,new_3,why_3,traditional_wage,new_wage_low,new_wage_high
51.1801,Opticianry/Ophthalmic Dispensing Optician,Health Professions,Retail optical dispenser,Virtual try-on fit specialist,"Typical first-two-years range $55,000 to $80,000. Not the Retail optical dispenser seat.",Vision benefits and claims analyst,"Typical first-two-years range $55,000 to $80,000. Not the Retail optical dispenser seat.",Ophthalmic device field trainer,"Typical first-two-years range $55,000 to $80,000. Not the Retail optical dispenser seat.",45000,55000,80000
51.1802,Optometric Technician/Assistant,Health Professions,Clinic optometric assistant,Teleoptometry imaging technician,"Typical first-two-years range $52,000 to $75,000. Not the Clinic optometric assistant seat.",Myopia control program coordinator,"Typical first-two-years range $52,000 to $75,000. Not the Clinic optometric assistant seat.",Eye screening AI QA technician,"Typical first-two-years range $52,000 to $75,000. Not the Clinic optometric assistant seat.",44000,52000,75000
51.1803,Ophthalmic Technician/Technologist,Health Professions,Hospital ophthalmic technician,Retinal imaging AI validation technician,"Typical first-two-years range $65,000 to $95,000. Not the Hospital ophthalmic technician seat.",Ophthalmic trial imaging coordinator,"Typical first-two-years range $65,000 to $95,000. Not the Hospital ophthalmic technician seat.",Surgical laser application specialist,"Typical first-two-years range $65,000 to $95,000. Not the Hospital ophthalmic technician seat.",50000,65000,95000
51.1804,Orthoptics/Orthoptist,Health Professions,Pediatric clinic orthoptist,Vision therapy telehealth clinician,"Typical first-two-years range $80,000 to $110,000. Not the Pediatric clinic orthoptist seat.",Neuro-ophthalmic trial assessor,"Typical first-two-years range $80,000 to $110,000. Not the Pediatric clinic orthoptist seat.",Digital vision therapy content designer,"Typical first-two-years range $80,000 to $110,000. Not the Pediatric clinic orthoptist seat.",70000,80000,110000
51.2001,Pharmacy,Health Professions,Retail community pharmacist,Clinical informatics pharmacist,"Typical first-two-years range $130,000 to $165,000. Not the Retail community pharmacist seat.",Medication AI safety reviewer,"Typical first-two-years range $130,000 to $165,000. Not the Retail community pharmacist seat.",Value-based medication therapy lead,"Typical first-two-years range $130,000 to $165,000. Not the Retail community pharmacist seat.",137000,130000,165000
51.2002,Pharmacy Administration and Pharmacy Policy and Regulatory Affairs,Health Professions,Hospital pharmacy manager,Drug pricing and 340B analyst,"Typical first-two-years range $110,000 to $160,000. Not the Hospital pharmacy manager seat.",Payer formulary strategy analyst,"Typical first-two-years range $110,000 to $160,000. Not the Hospital pharmacy manager seat.",Pharmacy compliance and audit lead,"Typical first-two-years range $110,000 to $160,000. Not the Hospital pharmacy manager seat.",130000,110000,160000
51.2003,Pharmaceutics and Drug Design,Health Professions,Formulation scientist,Computational formulation modeler,"Typical first-two-years range $100,000 to $140,000. Not the Formulation scientist seat.",AI molecule screening associate,"Typical first-two-years range $100,000 to $140,000. Not the Formulation scientist seat.",CDMO tech transfer engineer,"Typical first-two-years range $100,000 to $140,000. Not the Formulation scientist seat.",95000,100000,140000
51.2004,Medicinal and Pharmaceutical Chemistry,Health Professions,Medicinal chemistry lab associate,Cheminformatics associate,"Typical first-two-years range $90,000 to $135,000. Not the Medicinal chemistry lab associate seat.",Generative chemistry model evaluator,"Typical first-two-years range $90,000 to $135,000. Not the Medicinal chemistry lab associate seat.",Peptide and ADC process chemist,"Typical first-two-years range $90,000 to $135,000. Not the Medicinal chemistry lab associate seat.",78000,90000,135000
51.2005,Natural Products Chemistry and Pharmacognosy,Health Professions,Natural products research assistant,Botanical supplement regulatory analyst,"Typical first-two-years range $72,000 to $105,000. Not the Natural products research assistant seat.",Biosynthesis and fermentation associate,"Typical first-two-years range $72,000 to $105,000. Not the Natural products research assistant seat.",Sustainable ingredient sourcing analyst,"Typical first-two-years range $72,000 to $105,000. Not the Natural products research assistant seat.",65000,72000,105000
51.2006,Clinical and Industrial Drug Development,Health Professions,CRO clinical research associate,Decentralized trial operations lead,"Typical first-two-years range $90,000 to $130,000. Not the CRO clinical research associate seat.",Trial data quality monitoring analyst,"Typical first-two-years range $90,000 to $130,000. Not the CRO clinical research associate seat.",Real-world evidence associate,"Typical first-two-years range $90,000 to $130,000. Not the CRO clinical research associate seat.",82000,90000,130000
51.2007,Pharmacoeconomics/Pharmaceutical Economics,Health Professions,HEOR analyst,Payer value dossier modeler,"Typical first-two-years range $100,000 to $145,000. Not the HEOR analyst seat.",Outcomes-based contract analyst,"Typical first-two-years range $100,000 to $145,000. Not the HEOR analyst seat.",Health economics simulation engineer,"Typical first-two-years range $100,000 to $145,000. Not the HEOR analyst seat.",90000,100000,145000
51.2008,"Clinical, Hospital, and Managed Care Pharmacy",Health Professions,Hospital staff pharmacist,Remote utilization management pharmacist,"Typical first-two-years range $130,000 to $160,000. Not the Hospital staff pharmacist seat.",Specialty pharmacy program lead,"Typical first-two-years range $130,000 to $160,000. Not the Hospital staff pharmacist seat.",Benefit review clinical pharmacist,"Typical first-two-years range $130,000 to $160,000. Not the Hospital staff pharmacist seat.",132000,130000,160000
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences,Health Professions,Manufacturing pharmacist,Continuous manufacturing process engineer,"Typical first-two-years range $85,000 to $125,000. Not the Manufacturing pharmacist seat.",Cosmetic claims and safety analyst,"Typical first-two-years range $85,000 to $125,000. Not the Manufacturing pharmacist seat.",Sterile fill-finish automation technician,"Typical first-two-years range $85,000 to $125,000. Not the Manufacturing pharmacist seat.",90000,85000,125000
51.2010,Pharmaceutical Sciences,Health Professions,Bench research associate,Translational biomarker associate,"Typical first-two-years range $85,000 to $125,000. Not the Bench research associate seat.",Lab automation scientist,"Typical first-two-years range $85,000 to $125,000. Not the Bench research associate seat.",Regulatory CMC associate,"Typical first-two-years range $85,000 to $125,000. Not the Bench research associate seat.",72000,85000,125000
51.2011,Pharmaceutical Marketing and Management,Health Professions,Pharmaceutical sales representative,Omnichannel HCP marketing analyst,"Typical first-two-years range $95,000 to $135,000. Not the Pharmaceutical sales representative seat.",Market access and patient services lead,"Typical first-two-years range $95,000 to $135,000. Not the Pharmaceutical sales representative seat.",Medical content compliance reviewer,"Typical first-two-years range $95,000 to $135,000. Not the Pharmaceutical sales representative seat.",90000,95000,135000
51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other",Health Professions,Pharmacy operations associate,Pharmacy automation implementation analyst,"Typical first-two-years range $80,000 to $115,000. Not the Pharmacy operations associate seat.",Drug supply chain risk analyst,"Typical first-two-years range $80,000 to $115,000. Not the Pharmacy operations associate seat.",Digital therapeutics program coordinator,"Typical first-two-years range $80,000 to $115,000. Not the Pharmacy operations associate seat.",70000,80000,115000
51.2201,"Public Health, General",Health Professions,Health department program assistant,Population health data analyst,"Typical first-two-years range $72,000 to $110,000. Not the Health department program assistant seat.",Health equity program evaluator,"Typical first-two-years range $72,000 to $110,000. Not the Health department program assistant seat.",Outbreak intelligence analyst,"Typical first-two-years range $72,000 to $110,000. Not the Health department program assistant seat.",55000,72000,110000
51.2202,Environmental Health,Health Professions,County environmental health inspector,ESG and site risk analyst,"Typical first-two-years range $75,000 to $115,000. Not the County environmental health inspector seat.",Climate and heat resilience planner,"Typical first-two-years range $75,000 to $115,000. Not the County environmental health inspector seat.",Indoor air quality data specialist,"Typical first-two-years range $75,000 to $115,000. Not the County environmental health inspector seat.",62000,75000,115000
51.2205,Health/Medical  Physics,Health Professions,Hospital medical physics assistant,Radiotherapy AI planning specialist,"Typical first-two-years range $110,000 to $160,000. Not the Hospital medical physics assistant seat.",Imaging QA automation physicist,"Typical first-two-years range $110,000 to $160,000. Not the Hospital medical physics assistant seat.",Radiopharmaceutical dosimetry analyst,"Typical first-two-years range $110,000 to $160,000. Not the Hospital medical physics assistant seat.",95000,110000,160000
51.2206,Occupational Health and Industrial Hygiene,Health Professions,Plant industrial hygienist,Warehouse robotics ergonomics analyst,"Typical first-two-years range $90,000 to $130,000. Not the Plant industrial hygienist seat.",Semiconductor fab exposure specialist,"Typical first-two-years range $90,000 to $130,000. Not the Plant industrial hygienist seat.",EHS sensor and data analyst,"Typical first-two-years range $90,000 to $130,000. Not the Plant industrial hygienist seat.",85000,90000,130000
51.2207,Public Health Education and Promotion,Health Professions,Community health educator,Digital behavior change content designer,"Typical first-two-years range $68,000 to $100,000. Not the Community health educator seat.",Member engagement program analyst,"Typical first-two-years range $68,000 to $100,000. Not the Community health educator seat.",Trial recruitment outreach lead,"Typical first-two-years range $68,000 to $100,000. Not the Community health educator seat.",55000,68000,100000
51.2208,Community Health and Preventive Medicine,Health Professions,Community program coordinator,Value-based care population manager,"Typical first-two-years range $70,000 to $105,000. Not the Community program coordinator seat.",Social needs referral platform analyst,"Typical first-two-years range $70,000 to $105,000. Not the Community program coordinator seat.",Preventive care campaign analyst,"Typical first-two-years range $70,000 to $105,000. Not the Community program coordinator seat.",55000,70000,105000
51.2209,Maternal and Child Health,Health Professions,MCH program coordinator,Maternal telehealth program manager,"Typical first-two-years range $72,000 to $105,000. Not the MCH program coordinator seat.",Doula benefit network lead,"Typical first-two-years range $72,000 to $105,000. Not the MCH program coordinator seat.",Perinatal quality data analyst,"Typical first-two-years range $72,000 to $105,000. Not the MCH program coordinator seat.",58000,72000,105000
51.2210,International Public Health/International Health,Health Professions,NGO field program officer,Global health monitoring and evaluation analyst,"Typical first-two-years range $70,000 to $110,000. Not the NGO field program officer seat.",Pandemic preparedness policy analyst,"Typical first-two-years range $70,000 to $110,000. Not the NGO field program officer seat.",Global market access analyst,"Typical first-two-years range $70,000 to $110,000. Not the NGO field program officer seat.",55000,70000,110000
51.2211,Health Services Administration,Health Professions,Hospital administrative fellow,Revenue cycle automation analyst,"Typical first-two-years range $80,000 to $120,000. Not the Hospital administrative fellow seat.",Care operations product analyst,"Typical first-two-years range $80,000 to $120,000. Not the Hospital administrative fellow seat.",Provider network strategy analyst,"Typical first-two-years range $80,000 to $120,000. Not the Hospital administrative fellow seat.",68000,80000,120000
51.2212,Behavioral Aspects of Health,Health Professions,Behavioral research assistant,Digital behavior change UX researcher,"Typical first-two-years range $78,000 to $115,000. Not the Behavioral research assistant seat.",Medication adherence program analyst,"Typical first-two-years range $78,000 to $115,000. Not the Behavioral research assistant seat.",Behavioral experiment analyst,"Typical first-two-years range $78,000 to $115,000. Not the Behavioral research assistant seat.",52000,78000,115000
51.2213,Patient Safety and Healthcare Quality,Health Professions,Hospital quality improvement coordinator,Clinical AI safety monitoring analyst,"Typical first-two-years range $85,000 to $125,000. Not the Hospital quality improvement coordinator seat.",Safety event data scientist,"Typical first-two-years range $85,000 to $125,000. Not the Hospital quality improvement coordinator seat.",Accreditation automation lead,"Typical first-two-years range $85,000 to $125,000. Not the Hospital quality improvement coordinator seat.",70000,85000,125000
51.2214,Public Health Genetics,Health Professions,Genetics program coordinator,Newborn screening data analyst,"Typical first-two-years range $80,000 to $120,000. Not the Genetics program coordinator seat.",Population genomics program manager,"Typical first-two-years range $80,000 to $120,000. Not the Genetics program coordinator seat.",Genetic privacy policy analyst,"Typical first-two-years range $80,000 to $120,000. Not the Genetics program coordinator seat.",65000,80000,120000
51.2299,"Public Health, Other",Health Professions,Public health program assistant,Health policy data analyst,"Typical first-two-years range $68,000 to $100,000. Not the Public health program assistant seat.",Grants and impact measurement analyst,"Typical first-two-years range $68,000 to $100,000. Not the Public health program assistant seat.",Digital public health product associate,"Typical first-two-years range $68,000 to $100,000. Not the Public health program assistant seat.",52000,68000,100000
51.2300,"Rehabilitation and Therapeutic Professions, General",Health Professions,Rehabilitation clinic aide,Remote therapy program coordinator,"Typical first-two-years range $60,000 to $90,000. Not the Rehabilitation clinic aide seat.",Rehab outcomes data analyst,"Typical first-two-years range $60,000 to $90,000. Not the Rehabilitation clinic aide seat.",Wearable recovery program specialist,"Typical first-two-years range $60,000 to $90,000. Not the Rehabilitation clinic aide seat.",42000,60000,90000
51.2301,Art Therapy/Therapist,Health Professions,Inpatient art therapist,Digital mental health creative lead,"Typical first-two-years range $68,000 to $100,000. Not the Inpatient art therapist seat.",Employer wellbeing facilitator,"Typical first-two-years range $68,000 to $100,000. Not the Inpatient art therapist seat.",Trauma-informed VR therapy designer,"Typical first-two-years range $68,000 to $100,000. Not the Inpatient art therapist seat.",58000,68000,100000
51.2302,Dance Therapy/Therapist,Health Professions,Clinic dance and movement therapist,Neuro-rehab movement program designer,"Typical first-two-years range $65,000 to $95,000. Not the Clinic dance and movement therapist seat.",Virtual mobility coach for aging in place,"Typical first-two-years range $65,000 to $95,000. Not the Clinic dance and movement therapist seat.",Movement content lead for health apps,"Typical first-two-years range $65,000 to $95,000. Not the Clinic dance and movement therapist seat.",56000,65000,95000
